,apperences,freq
nbre_ingredient,129156.0,898.4140233722873
nbre_recipe,14376.0,100.0
pepper,7578.0,52.71285475792989
salt,6227.0,43.315247634947134
sugar,5546.0,38.57818586533109
onion,5125.0,35.649693934335
oil,5108.0,35.531441291040615
cheese,4440.0,30.884808013355595
butter,4007.0,27.872843628269344
flour,3169.0,22.043683917640525
powder,3140.0,21.841958820255982
sauce,3084.0,21.45242070116861
egg,3063.0,21.306343906510858
juice,2720.0,18.92042292710073
clove,2711.0,18.857818586533117
water,2678.0,18.6282693377852
milk,2361.0,16.42320534223706
tomato,1979.0,13.765998887033943
cream,1932.0,13.439065108514189
vinegar,1634.0,11.366165831942126
parsley,1230.0,8.5559265442404
garlic,1212.0,8.430717863105174
leaf,1177.0,8.18725653867557
cinnamon,1075.0,7.477740678909294
potato,1023.0,7.1160267111853095
mustard,1008.0,7.011686143572621
bean,968.0,6.733444629938785
carrot,882.0,6.135225375626042
extract,874.0,6.079577072899276
soda,871.0,6.058708959376739
mix,800.0,5.5648302726766845
seed,798.0,5.550918196994991
broth,769.0,5.349193099610461
mayonnaise,764.0,5.314412910406231
vanilla,759.0,5.279632721202003
ginger,750.0,5.21702838063439
mushroom,728.0,5.0639955481357815
breast,726.0,5.05008347245409
beef,693.0,4.820534223706176
cumin,664.0,4.618809126321647
rice,651.0,4.5283806343906505
basil,650.0,4.521424596549805
wine,644.0,4.47968836950473
oregano,629.0,4.375347801892042
flake,626.0,4.354479688369504
honey,622.0,4.326655537006122
paprika,616.0,4.284919309961046
celery,587.0,4.083194212576516
cilantro,586.0,4.07623817473567
chip,570.0,3.9649415692821366
bacon,544.0,3.7840845854201444
seasoning,533.0,3.70756816917084
bread,518.0,3.603227601558152
thyme,494.0,3.436282693377852
syrup,489.0,3.401502504173622
nutmeg,482.0,3.3528102392877015
of,462.0,3.2136894824707847
soup,457.0,3.1789092932665555
zucchini,451.0,3.1371730662214796
yogurt,447.0,3.109348914858096
olive,443.0,3.0815247634947127
cornstarch,435.0,3.0258764607679463
breadcrumb,424.0,2.9493600445186416
paste,405.0,2.8171953255425706
apple,398.0,2.7685030606566494
cucumber,389.0,2.705898720089037
stock,382.0,2.657206455203116
pasta,381.0,2.65025041736227
chili,380.0,2.6432943795214245
pecan,355.0,2.469393433500278
raisin,351.0,2.4415692821368937
chicken,350.0,2.4346132442960484
corn,349.0,2.427657206455203
banana,336.0,2.3372287145242066
walnut,322.0,2.2398441847523647
margarine,320.0,2.2259321090706727
lettuce,318.0,2.2120200333889817
shrimp,312.0,2.170283806343906
pea,309.0,2.1494156928213686
almond,308.0,2.142459654980523
strawberry,303.0,2.107679465776294
spinach,302.0,2.100723427935448
fillet,302.0,2.100723427935448
oat,300.0,2.086811352253756
zest,298.0,2.0728992765720644
cube,289.0,2.0102949360044517
nut,284.0,1.9755147468002225
noodle,280.0,1.947690595436839
lemon,278.0,1.9337785197551476
coconut,278.0,1.9337785197551476
tortilla,274.0,1.9059543683917641
sausage,271.0,1.885086254869226
steak,270.0,1.8781302170283807
white,265.0,1.843350027824151
scallion,260.0,1.8085698386199223
coriander,256.0,1.7807456872565384
dressing,254.0,1.7668336115748466
shallot,253.0,1.759877573734001
avocado,251.0,1.7459654980523094
spray,251.0,1.7459654980523092
half,249.0,1.7320534223706174
ketchup,246.0,1.7111853088480802
blueberry,243.0,1.6903171953255423
salsa,241.0,1.6764051196438507
cabbage,239.0,1.6624930439621588
chive,236.0,1.6416249304396218
rosemary,234.0,1.6277128547579298
buttermilk,233.0,1.6207568169170838
chocolate,219.0,1.5233722871452422
ham,216.0,1.5025041736227038
pineapple,210.0,1.460767946577629
dill,201.0,1.3981636060100167
shortening,188.0,1.3077351140790208
rib,187.0,1.3007790762381746
yeast,186.0,1.2938230383973286
turmeric,184.0,1.279910962715637
peach,181.0,1.2590428491930996
mint,181.0,1.2590428491930996
yolk,181.0,1.2590428491930994
cocoa,168.0,1.1686143572621033
orange,165.0,1.147746243739566
crust,165.0,1.1477462437395656
substitute,164.0,1.1407902058987198
gingerroot,161.0,1.1199220923761826
chop,159.0,1.1060100166944908
crumb,159.0,1.1060100166944906
jalapeno,157.0,1.0920979410127991
whip,157.0,1.092097941012799
allspice,153.0,1.0642737896494157
peanut,152.0,1.0573177518085697
rind,150.0,1.0434056761268782
rum,144.0,1.001669449081803
squash,144.0,1.0016694490818028
lime,141.0,0.9808013355592655
broccoli,139.0,0.9668892598775738
turkey,138.0,0.9599332220367278
caper,138.0,0.9599332220367278
cornmeal,137.0,0.9529771841958821
raspberry,134.0,0.9321090706733446
cherry,134.0,0.9321090706733445
cracker,131.0,0.911240957150807
half-and-half,129.0,0.8973288814691152
macaroni,126.0,0.8764607679465777
ice,125.0,0.8695047301057318
floret,123.0,0.8555926544240402
applesauce,121.0,0.8416805787423484
roll,119.0,0.8277685030606566
gelatin,119.0,0.8277685030606566
molass,118.0,0.8208124652198109
shell,117.0,0.813856427378965
slice,116.0,0.8069003895381193
beer,116.0,0.806900389538119
pork,114.0,0.7929883138564274
stick,113.0,0.7860322760155816
eggplant,112.0,0.7790762381747358
vodka,112.0,0.7790762381747357
bun,110.0,0.7651641624930441
topping,109.0,0.7582081246521981
peel,109.0,0.7582081246521981
chile,106.0,0.7373400111296605
cranberry,106.0,0.7373400111296605
green,105.0,0.7303839732888149
coffee,105.0,0.7303839732888148
heart,103.0,0.716471897607123
peppercorn,102.0,0.7095158597662772
sage,101.0,0.7025598219254313
concentrate,101.0,0.7025598219254312
piece,100.0,0.6956037840845855
roast,98.0,0.6816917084028937
sprout,97.0,0.674735670562048
fruit,96.0,0.6677796327212021
cayenne,95.0,0.6608235948803561
cereal,94.0,0.6538675570395102
thigh,93.0,0.6469115191986644
mango,90.0,0.6260434056761269
oatmeal,87.0,0.6051752921535895
vegetable,87.0,0.6051752921535895
wedge,87.0,0.6051752921535893
chunk,86.0,0.5982192543127435
pumpkin,85.0,0.5912632164718976
cardamom,85.0,0.5912632164718976
marshmallow,84.0,0.5843071786310517
horseradish,83.0,0.577351140790206
sprig,83.0,0.5773511407902059
tarragon,82.0,0.5703951029493601
sherry,82.0,0.5703951029493601
spaghetti,81.0,0.5634390651085143
liqueur,81.0,0.5634390651085142
kernel,80.0,0.5564830272676684
weed,79.0,0.5495269894268224
spice,78.0,0.5425709515859767
salmon,78.0,0.5425709515859767
cauliflower,77.0,0.5356149137451308
tenderloin,77.0,0.5356149137451308
herb,76.0,0.528658875904285
meat,76.0,0.528658875904285
granule,75.0,0.5217028380634391
asparagu,75.0,0.5217028380634391
chickpea,74.0,0.5147468002225932
lentil,73.0,0.5077907623817475
tuna,72.0,0.5008347245409015
marjoram,72.0,0.5008347245409015
dough,71.0,0.49387868670005575
crabmeat,70.0,0.4869226488592099
grape,70.0,0.48692264885920983
leek,68.0,0.4730105731775181
masala,68.0,0.4730105731775181
pickle,67.0,0.4660545353366723
relish,67.0,0.46605453533667224
jam,67.0,0.46605453533667224
tofu,64.0,0.4451864218141347
apricot,63.0,0.4382303839732889
linguine,63.0,0.43823038397328884
brandy,61.0,0.4243183082915971
filling,61.0,0.4243183082915971
tequila,60.0,0.41736227045075125
puree,60.0,0.41736227045075125
radish,59.0,0.41040623260990544
cashew,59.0,0.4104062326099054
biscuit,58.0,0.40345019476905963
pear,58.0,0.4034501947690596
chestnut,58.0,0.4034501947690595
pudding,57.0,0.39649415692821377
lamb,56.0,0.3895381190873678
scallop,55.0,0.382582081246522
date,54.0,0.3756260434056762
couscou,54.0,0.3756260434056761
pepperoni,54.0,0.37562604340567607
coloring,54.0,0.37562604340567607
preserve,53.0,0.3686700055648303
tartar,51.0,0.3547579298831386
soymilk,49.0,0.3408458542014469
baguette,49.0,0.3408458542014469
blackberry,48.0,0.333889816360601
wing,47.0,0.32693377851975514
capsicum,47.0,0.32693377851975514
bit,46.0,0.31997774067890933
watermelon,46.0,0.31997774067890933
berry,45.0,0.31302170283806346
bag,44.0,0.30606566499721766
cornflour,44.0,0.3060656649972176
sec,43.0,0.29910962715637174
granular,42.0,0.2921535893155259
lemongras,42.0,0.2921535893155259
cookie,42.0,0.2921535893155259
bouillon,41.0,0.28519755147468007
pastry,41.0,0.28519755147468007
adobo,41.0,0.28519755147468
pimiento,41.0,0.28519755147468
marmalade,41.0,0.28519755147468
beet,41.0,0.28519755147468
smoke,40.0,0.2782415136338342
bar,39.0,0.2712854757929884
blend,39.0,0.27128547579298834
essence,39.0,0.27128547579298834
sauerkraut,39.0,0.27128547579298834
skewer,39.0,0.27128547579298834
barley,38.0,0.2643294379521425
catsup,38.0,0.2643294379521425
kahlua,37.0,0.2573734001112966
rhubarb,37.0,0.2573734001112966
flavoring,37.0,0.2573734001112966
chuck,37.0,0.2573734001112966
jelly,37.0,0.2573734001112966
hamburger,37.0,0.2573734001112966
square,36.0,0.25041736227045075
kielbasa,36.0,0.25041736227045075
cantaloupe,34.0,0.23650528658875905
cider,34.0,0.23650528658875902
spread,33.0,0.22954924874791327
candy,33.0,0.22954924874791327
bourbon,32.0,0.22259321090706735
pod,32.0,0.22259321090706735
prawn,32.0,0.22259321090706732
nectar,31.0,0.21563717306622152
prosciutto,31.0,0.2156371730662215
round,31.0,0.2156371730662215
ale,31.0,0.2156371730662215
hazelnut,30.0,0.20868113522537565
crouton,30.0,0.20868113522537565
fig,30.0,0.20868113522537562
fettuccine,30.0,0.2086811352253756
bran,29.0,0.2017250973845298
bisquick,29.0,0.20172509738452976
dog,28.0,0.19476905954368395
tea,28.0,0.19476905954368395
cake,28.0,0.19476905954368395
clam,28.0,0.19476905954368393
feta,28.0,0.19476905954368393
wafer,28.0,0.19476905954368393
arugula,28.0,0.1947690595436839
saffron,28.0,0.1947690595436839
whiskey,27.0,0.1878130217028381
crisco,27.0,0.1878130217028381
tahini,27.0,0.18781302170283806
sweetener,27.0,0.18781302170283806
germ,27.0,0.18781302170283806
muffin,26.0,0.18085698386199225
okra,26.0,0.18085698386199223
pimento,26.0,0.1808569838619922
tortellini,25.0,0.17390094602114634
tidbit,25.0,0.17390094602114634
ghee,25.0,0.17390094602114634
fat,25.0,0.17390094602114634
currant,24.0,0.1669449081803005
fraiche,24.0,0.1669449081803005
choy,24.0,0.1669449081803005
tapioca,24.0,0.1669449081803005
salami,24.0,0.1669449081803005
amaretto,24.0,0.1669449081803005
leg,23.0,0.1599888703394547
chutney,23.0,0.1599888703394547
lemonade,23.0,0.15998887033945466
penne,23.0,0.15998887033945466
grenadine,23.0,0.15998887033945464
wheat,22.0,0.15303283249860883
ring,22.0,0.1530328324986088
krispy,22.0,0.1530328324986088
pectin,22.0,0.1530328324986088
thread,22.0,0.15303283249860877
yoghurt,21.0,0.14607679465776297
schnapp,21.0,0.14607679465776297
sirloin,21.0,0.14607679465776297
tender,21.0,0.14607679465776294
gorgonzola,21.0,0.14607679465776294
flower,21.0,0.14607679465776294
sultana,21.0,0.14607679465776294
tamari,21.0,0.14607679465776294
spear,20.0,0.1391207568169171
frosting,20.0,0.1391207568169171
stem,20.0,0.1391207568169171
plum,20.0,0.1391207568169171
anise,20.0,0.1391207568169171
loin,20.0,0.13912075681691707
meal,20.0,0.13912075681691707
parsnip,20.0,0.13912075681691707
marnier,20.0,0.13912075681691707
top,19.0,0.13216471897607127
gravy,19.0,0.13216471897607124
chex,19.0,0.13216471897607124
melon,19.0,0.13216471897607124
prune,19.0,0.13216471897607124
jell-o,19.0,0.13216471897607124
gherkin,19.0,0.13216471897607124
dripping,19.0,0.13216471897607124
popcorn,19.0,0.13216471897607124
vermicelli,19.0,0.13216471897607124
cacao,19.0,0.13216471897607124
quinoa,19.0,0.1321647189760712
sheet,18.0,0.12520868113522537
mirin,18.0,0.12520868113522537
cutlet,18.0,0.12520868113522537
drumstick,18.0,0.12520868113522537
leave,18.0,0.12520868113522537
pistachio,18.0,0.12520868113522537
sake,18.0,0.12520868113522537
kiwi,18.0,0.12520868113522537
wrapper,17.0,0.11825264329437954
curacao,17.0,0.11825264329437953
bulb,17.0,0.11825264329437953
shoulder,17.0,0.11825264329437951
mace,17.0,0.11825264329437951
savory,17.0,0.11825264329437951
foil,16.0,0.11129660545353368
mussel,16.0,0.11129660545353368
papaya,16.0,0.11129660545353368
harissa,16.0,0.11129660545353368
turnip,16.0,0.11129660545353366
tomatillo,16.0,0.11129660545353366
fish,16.0,0.11129660545353366
grapefruit,16.0,0.11129660545353366
kale,16.0,0.11129660545353366
guacamole,15.0,0.10434056761268781
jicama,15.0,0.10434056761268781
pretzel,15.0,0.10434056761268781
cocktail,15.0,0.10434056761268781
sprite,15.0,0.10434056761268781
brown,14.0,0.09738452977184198
vermouth,14.0,0.09738452977184198
artichoke,14.0,0.09738452977184196
fennel,14.0,0.09738452977184196
shoot,14.0,0.09738452977184196
watercres,14.0,0.09738452977184196
morsel,14.0,0.09738452977184196
rotel,14.0,0.09738452977184196
gum,14.0,0.09738452977184196
craisin,14.0,0.09738452977184196
gin,14.0,0.09738452977184196
segment,14.0,0.09738452977184196
champagne,14.0,0.09738452977184196
