,apperences,freq
lite,15.0,0.10518934081346425
artichoke,15.0,0.10518934081346423
sprinkle,15.0,0.10518934081346423
creamer,15.0,0.10518934081346423
papaya,15.0,0.10518934081346423
creme,15.0,0.10518934081346423
rotel,15.0,0.10518934081346423
kale,15.0,0.10518934081346423
wheat,15.0,0.10518934081346423
cob,15.0,0.10518934081346423
harissa,14.0,0.09817671809256663
cocktail,14.0,0.09817671809256662
ball,14.0,0.09817671809256662
vermicelli,14.0,0.09817671809256662
prune,14.0,0.09817671809256662
dripping,13.0,0.09116409537166902
manicotti,13.0,0.091164095371669
pie,13.0,0.091164095371669
base,13.0,0.091164095371669
tidbit,13.0,0.091164095371669
melon,13.0,0.091164095371669
gnocchi,13.0,0.091164095371669
oyster,12.0,0.0841514726507714
curacao,12.0,0.0841514726507714
fish,12.0,0.0841514726507714
cup,12.0,0.0841514726507714
fusilli,12.0,0.08415147265077139
cacao,12.0,0.08415147265077139
gin,12.0,0.08415147265077139
liver,11.0,0.07713884992987378
shank,11.0,0.07713884992987378
grapefruit,11.0,0.07713884992987377
hominy,11.0,0.07713884992987377
veal,11.0,0.07713884992987377
flower,11.0,0.07713884992987377
gluten,11.0,0.07713884992987377
rocket,11.0,0.07713884992987377
sparerib,11.0,0.07713884992987377
bratwurst,11.0,0.07713884992987377
tot,11.0,0.07713884992987377
marinade,10.0,0.07012622720897617
fry,10.0,0.07012622720897616
chard,10.0,0.07012622720897616
sherbet,10.0,0.07012622720897616
marnier,10.0,0.07012622720897616
ciabatta,10.0,0.07012622720897616
bulgur,10.0,0.07012622720897616
kiwi,10.0,0.07012622720897616
stem,10.0,0.07012622720897616
brine,10.0,0.07012622720897616
curry,10.0,0.07012622720897616
champagne,10.0,0.07012622720897616
gherkin,10.0,0.07012622720897616
butt,10.0,0.07012622720897616
nectarine,9.0,0.06311360448807855
beverage,9.0,0.06311360448807855
crepe,9.0,0.06311360448807855
sprite,9.0,0.06311360448807855
craisin,9.0,0.06311360448807855
grit,9.0,0.06311360448807854
crystal,9.0,0.06311360448807854
cannellini,9.0,0.06311360448807854
nutella,9.0,0.06311360448807854
chex,9.0,0.06311360448807854
ladyfinger,9.0,0.06311360448807854
watercres,9.0,0.06311360448807854
beetroot,9.0,0.06311360448807854
savory,9.0,0.06311360448807854
toast,9.0,0.06311360448807854
ravioli,9.0,0.06311360448807854
caramel,9.0,0.06311360448807854
icing,8.0,0.05610098176718093
tail,8.0,0.05610098176718093
mexicorn,8.0,0.05610098176718093
limoncello,8.0,0.05610098176718093
cod,8.0,0.05610098176718093
grease,8.0,0.05610098176718093
segment,8.0,0.05610098176718093
cola,8.0,0.05610098176718093
stevia,8.0,0.056100981767180924
trout,8.0,0.056100981767180924
mince,8.0,0.056100981767180924
endive,8.0,0.056100981767180924
bagel,8.0,0.056100981767180924
cornbread,7.0,0.049088359046283316
hummu,7.0,0.049088359046283316
dessert,7.0,0.049088359046283316
yam,7.0,0.049088359046283316
food,7.0,0.049088359046283316
alum,7.0,0.049088359046283316
coca-cola,7.0,0.049088359046283316
root,7.0,0.049088359046283316
escarole,7.0,0.049088359046283316
verde,7.0,0.049088359046283316
millet,7.0,0.049088359046283316
twist,7.0,0.049088359046283316
light,7.0,0.049088359046283316
frangelico,7.0,0.049088359046283316
marsala,7.0,0.04908835904628331
m&m',7.0,0.04908835904628331
anchovy,7.0,0.04908835904628331
courgette,7.0,0.04908835904628331
crab,7.0,0.04908835904628331
bone,7.0,0.04908835904628331
glaze,7.0,0.04908835904628331
pocket,7.0,0.04908835904628331
rigate,7.0,0.04908835904628331
sorbet,6.0,0.0420757363253857
pulp,6.0,0.0420757363253857
curd,6.0,0.0420757363253857
menthe,6.0,0.0420757363253857
stuffing,6.0,0.0420757363253857
blossom,6.0,0.0420757363253857
dorito,6.0,0.04207573632538569
rice-a-roni,6.0,0.04207573632538569
crumble,6.0,0.04207573632538569
lobster,6.0,0.04207573632538569
sumac,6.0,0.04207573632538569
free,6.0,0.04207573632538569
pastrami,6.0,0.04207573632538569
chick-pea,6.0,0.04207573632538569
jello,6.0,0.04207573632538569
maria,6.0,0.04207573632538569
halibut,6.0,0.04207573632538569
arrowroot,6.0,0.04207573632538569
liquor,6.0,0.04207573632538569
rotini,6.0,0.04207573632538569
shaving,6.0,0.04207573632538569
poundcake,6.0,0.04207573632538569
oelek,6.0,0.04207573632538569
cognac,6.0,0.04207573632538569
gruyere,6.0,0.04207573632538569
mani,6.0,0.04207573632538569
nori,6.0,0.04207573632538569
saltine,5.0,0.035063113604488085
dal,5.0,0.035063113604488085
rack,5.0,0.035063113604488085
salad,5.0,0.035063113604488085
curl,5.0,0.035063113604488085
hen,5.0,0.035063113604488085
soybean,5.0,0.035063113604488085
patty,5.0,0.035063113604488085
waffle,5.0,0.035063113604488085
paper,5.0,0.03506311360448808
dip,5.0,0.03506311360448808
mincemeat,5.0,0.03506311360448808
morsel,5.0,0.03506311360448808
whiz,5.0,0.03506311360448808
niblet,5.0,0.03506311360448808
habanero,5.0,0.03506311360448808
breadstick,5.0,0.03506311360448808
toothpick,5.0,0.03506311360448808
merlot,5.0,0.03506311360448808
seaweed,5.0,0.03506311360448808
baking,5.0,0.03506311360448808
coleslaw,5.0,0.03506311360448808
stout,5.0,0.03506311360448808
bologna,5.0,0.03506311360448808
semolina,5.0,0.03506311360448808
oleo,5.0,0.03506311360448808
radicchio,5.0,0.03506311360448808
msg,5.0,0.03506311360448808
kohlrabi,5.0,0.03506311360448808
